node1,node2,dist
Nal’chik,Nartkala,0.003309866715501518
Kuskovo,Tomsk,0.003337577780914709
Furmanov,Ivanovo,0.003344249533756138
Krymsk,Slavyansk-na-Kubani,0.0033514458176306466
Ozëry,Zaraysk,0.0033635511870141323
Kotlovka,Nurlat,0.003386861411858821
Tula,Yasnogorsk,0.0033869645785279162
Konstantinovsk,Semikarakorsk,0.003406101755965187
Anapa,Temryuk,0.0034329365309757696
Mineralnye Vody,Nezlobnaya,0.003469781065602976
Bikin,Luchegorsk,0.0034704780389179955
Kirov,Kirovo-Chepetsk,0.0034714464973774326
Kulebaki,Navashino,0.003477359985064963
Dinskaya,Korenovsk,0.003478746369967256
Aleksandrov,Bibirevo,0.003482225478988907
Dzerzhinsk,Novaya Balakhna,0.003489860592017327
Boksitogorsk,Tikhvin,0.003495730545729713
Ipatovo,Svetlograd,0.003507513635728817
Ilanskiy,Kansk,0.003518459677469433
Amursk,Komsomolsk-on-Amur,0.003525887387628592
Angarsk,Usol’ye-Sibirskoye,0.003533841790290344
Khasavyurt,Kizilyurt,0.003536467867730972
Nevinnomyssk,Stavropol’,0.0035616531369967244
Bagayevskaya,Novocherkassk,0.003581246617786238
Sokol,Vologda,0.003613421741828296
Chaykovskiy,Votkinsk,0.003691099097747853
Balezino,Glazov,0.003707899308961507
Monchegorsk,Olenegorsk,0.0037279843081162865
Bologoye,Linëvo,0.0037297909355420923
Berëzovskiy,Yegorlykskaya,0.0037300520160495256
Nikel’,Zapolyarnyy,0.003755087619584543
Novovoronezh,Voronezh,0.0037698268832207843
Anzhero-Sudzhensk,Tayga,0.003777587544187459
Dubna,Konakovo,0.0037894474057705344
Cherkessk,Nevinnomyssk,0.003793002337725246
Nakhodka,Partizansk,0.0038035691558056415
Al’met’yevsk,Leninogorsk,0.003805776963043331
Shchukino,Yaroslavl,0.003835239740074332
Venëv,Yasnogorsk,0.0038425893079790338
Kedrovka,Kushva,0.003873132659916603
Abdulino,Priyutovo,0.003879607410424513
Chernyakhovsk,Gusev,0.003882813806619776
Kurovskoye,Voskresensk,0.0038936212479430726
Azov,Persianovka,0.0038959857589056773
Agidel’,Neftekamsk,0.003902182101216551
Krasnotur’insk,Serov,0.003928762819568324
Konakovo,Levoberezhnaya,0.003938350151106505
Borodino,Zelenogorsk,0.00394777908389599
Gryazi,Lipetsk,0.0039790400143177905
Krasnoural’sk,Nizhnyaya Tura,0.003984706361191917
Mozhaysk,Tuchkovo,0.0039988903076576855
Izberbash,Kaspiysk,0.004003235188065068
Dmitrov,Lobnya,0.004011977764379858
Baymak,Sibay,0.0040244274189135615
Gavrilov-Yam,Yaroslavl,0.0040393690014072
Linëvo,Valday,0.004076331480418604
Kashira,Ozëry,0.004109716577310157
Reftinskiy,Sukhoy Log,0.0041184978017770185
Asha,Sim,0.004120396526082863
Dubna,Novogireyevo,0.004122659240421225
Sobinka,Vladimir,0.004123555276425275
Megion,Nizhnevartovsk,0.004142888423084806
Pushchino,Yasnogorsk,0.004147721042416028
Beryozovsky,Kemerovo,0.0041522795408438255
Krasnokamsk,Nytva,0.00415337803118621
Orlovskiy,Proletarsk,0.004189904913068249
Karabash,Kyshtym,0.00420256751045787
Lesosibirsk,Yeniseysk,0.004210501473067347
Gagarin,Petushki,0.00421927566799621
Kanevskaya,Starominskaya,0.0042223115564970016
Izmaylovo,Mtsensk,0.004225469940645699
Roshal’,Sobinka,0.004240044755245503
Karachayevsk,Zelenchukskaya,0.004240171965323249
Promyshlennaya,Topki,0.00424121518059475
Chekhov,Troitsk,0.004258069322621807
Angarsk,Shelekhov,0.004275243919764168
Kotel’nikovo,Nizhniy Lomov,0.0042800320022670394
Artëm,Vladivostok,0.0042846166779736215
Berëzovskiy,Novopokrovskaya,0.0043107254294339975
Uzlovaya,Venëv,0.004321388157287053
Matveyevskoye,Tver,0.004329751816731228
Ilanskiy,Ozerki,0.004377998576105928
Bagayevskaya,Zernograd,0.0043934781413201545
Reftinskiy,Rezh,0.0043979313019112745
Nizhnekamsk,Zainsk,0.004414589431631216
Novoural’sk,Pervoural’sk,0.004431804027437252
Nizhniy Novgorod,Novaya Balakhna,0.004451057603396352
Buynaksk,Kizilyurt,0.004458228834912557
Agryz,Izhevsk,0.00446347402490121
Tbilisskaya,Tikhoretsk,0.0044838263721852295
Koryazhma,Kotlas,0.00449383663318852
Meleuz,Salavat,0.004513669486641078
Bratsk,Vikhorevka,0.004523983709697575
Leningradskaya,Starominskaya,0.0045266354361457786
Rasskazovo,Tambov,0.0045276897393542286
Ivanovo,Teykovo,0.004540255518003409
Belorechensk,Ust’-Labinsk,0.0045449036094353116
Rodniki,Shuya,0.0045487870103644214
Bogdanovich,Kamensk-Ural’skiy,0.004556332595404925
Aleksin,Protvino,0.004556353938889635
Otradnaya,Zelenchukskaya,0.004560066324022981
Levoberezhnaya,Tver,0.004563063614593511
Azov,Markova,0.004595345399858657
Liski,Novovoronezh,0.004598160433648036
Miass,Zlatoust,0.0045992314183642
Kostroma,Volgorechensk,0.004613609021683697
Kropotkin,Tbilisskaya,0.0046265432491555715
Krasnokamsk,Perm,0.004632373266270945
Goryachiy Klyuch,Tuapse,0.0046405308336087536
Giaginskaya,Tbilisskaya,0.00464246104384659
Divnogorsk,Krasnoyarsk,0.004656948110339668
