name,country,subcountry,geonameid,lat,lng
Bol’shoy Kamen’,Russia,Primorskiy,2026303,51.593347,7.653655
Bodaybo,Russia,Irkutsk,2026583,57.852118,114.198968
Blagoveshchensk,Russia,Amur,2026609,50.29064,127.527173
Birobidzhan,Russia,Jewish Autonomous Oblast,2026643,48.792947,132.920245
Bikin,Russia,Khabarovsk Krai,2026696,46.818592,134.255034
Belogorsk,Russia,Amur,2026895,50.921287,128.473917
Baykal’sk,Russia,Irkutsk,2026979,40.201872,28.95466
Aykhal,Russia,Sakha,2027296,65.942105,111.50219
Artëm,Russia,Primorskiy,2027456,43.354804,132.18563
Arsen’yev,Russia,Primorskiy,2027468,49.193252,119.729249
Angarsk,Russia,Irkutsk,2027667,52.544358,103.88824
Amursk,Russia,Khabarovsk Krai,2027749,50.226797,136.910607
Aldan,Russia,Sakha,2027968,58.609451,125.381673
Dal'negorsk,Russia,Primorskiy,2051471,49.193252,119.729249
Bratsk,Russia,Irkutsk,2051523,56.151362,101.63408
Sayansk,Russia,Irkutsk,2055166,54.11081,102.180139
Khabarovsk Vtoroy,Russia,Khabarovsk Krai,2056752,47.878346,135.485438
