node1,node2,dist,real_dist
Lodeynoye Pole,Tikhvin,0.014255292297106963,185578.0
Losino-Petrovskiy,Monino,0.0003970319761231343,7746.0
Lukhovitsy,Zaraysk,0.00285930269694819,24095.0
Lyantor,Nefteyugansk,0.008110879051048521,96789.0
Lyskovo,Sergach,0.007360065899444476,68685.0
Dzerzhinskiy,Lytkarino,0.0008478719203770308,
Kotel’niki,Lyubertsy,0.0003967905146897,6350.0
Dyat’kovo,Lyudinovo,0.0032358726560462858,38073.0
Magadan,Okha,0.10177042104216223,
Magnitogorsk,Sibay,0.008298975687289687,96565.0
Malakhovka,Tomilino,0.0006343877524577242,6212.0
Malgobek,Staryy Malgobek,0.0,7542.0
Maloyaroslavets,Obninsk,0.0017080203100614518,20054.0
Manturovo,Semënov,0.014342086877629088,276310.0
Beryozovsky,Mariinsk,0.015763008983323657,2017568.0
Markova,Starominskaya,0.002376853530177761,
Engel’s,Marks,0.007094277228581712,2248975.0
Mar’ina Roshcha,Moscow,0.0004915497270112329,6905.0
Matveyevskoye,Tver,0.004329751816731228,190342.0
Medvedevo,Podol’sk,0.007912954053238927,804961.0
Medvedovskaya,Timashëvsk,0.001744779926231837,24401.0
Akademgorodok,Medvezh’yegorsk,0.0,3817857.0
Megion,Nizhnevartovsk,0.004142888423084806,33395.0
Melenki,Murom,0.0050306386408565116,41490.0
Mendeleyevsk,Naberezhnyye Chelny,0.002051300581366625,37492.0
Menzelinsk,Naberezhnyye Chelny,0.006835770201465854,54770.0
Mezhdurechensk,Myski,0.0027503189074486512,26316.0
Gryazi,Michurinsk,0.007242429075835253,75745.0
Chernyakhovsk,Mikhalkovo,0.006360170791880788,2286436.0
Mikhaylovsk,Stavropol’,0.0010468042289366202,14598.0
Kamensk-Shakhtinskiy,Millerovo,0.0061115769540508605,80855.0
Inozemtsevo,Mineralnye Vody,0.0011268126605815446,15345.0
Abakan,Minusinsk,0.0025320345665410865,27031.0
Monchegorsk,Olenegorsk,0.0037279843081162865,36406.0
Monino,Staraya Kupavna,0.00039292404778779847,6914.0
Morozovsk,Tsimlyansk,0.007401784375547701,86237.0
Morshansk,Rasskazovo,0.008782183487273299,117760.0
Moscow,Moskovskiy,0.0007407447418837096,4026235.0
Malgobek,Mozdok,0.0020447227748925283,52200.0
Mozhaysk,Tuchkovo,0.0039988903076576855,39136.0
Mendeleyevsk,Mozhga,0.00668845210120299,73792.0
Muravlenko,Noyabrsk,0.011123004581942628,120879.0
Murmansk,Severomorsk,0.002656892779859713,27859.0
Murom,Navashino,0.001409061951772948,27592.0
Korolev,Mytishchi,0.001164801966134901,
Muravlenko,Nadym,0.02902013353387298,668928.0
Nakhodka,Partizansk,0.0038035691558056415,53369.0
Nar'yan-Mar,Yegor’yevsk,0.032430658988362414,2492800.0
Nartkala,Prokhladnyy,0.002518232162668269,44034.0
Neftegorsk,Otradnyy,0.006773678031918543,
Mozdok,Neftekumsk,0.00953887614616797,150743.0
Nefteyugansk,Pyt-Yakh,0.004782096535081382,54226.0
Nelidovo,Ostashkov,0.011729320901861445,163812.0
Kostroma,Nerekhta,0.005111355367768592,46945.0
Neryungri,Tynda,0.017859813596573126,208356.0
Nesterovskaya,Nyandoma,0.005576372453795575,2614370.0
Nevel’,Velikiye Luki,0.007068961550910683,64258.0
Lyublino,Nevel’sk,0.002906597753927795,9238124.0
Nikel’,Zapolyarnyy,0.003755087619584543,28053.0
Kurtamysh,Nikolayevsk,0.02083285169672809,7346038.0
Nikulino,Sofrino,0.00133404782043729,84777.0
Nizhnekamsk,Yelabuga,0.002822268274109805,63054.0
Lyantor,Nizhnesortymskiy,0.011596369068378815,303031.0
